Code IRIS de Roubaix,revenu_fiscal_median_par_uc,pos,indice,Nom de l’IRIS à Roubaix,nb_hab,indice_nb_hab
595120202,4105,G1,"0,430293501048218",ALMA SUD,2284,"0,918074404730423"
595121101,4648,G1,"0,487211740041929",TROIS PONTS NORD,1040,"0,418037382188984"
595120203,6063,G1,"0,635534591194969",ALMA NORD,1806,"0,725937992532024"
595121102,6362,G1,"0,666876310272537",TROIS PONTS SUD,2264,"0,910035224303712"
595121002,6419,G1,"0,672851153039832",PILE CENTRE,2616,"1,05152479981383"
595120401,6545,G1,"0,686058700209644",HOMMELET NORD,2182,"0,877074584554196"
595120501,6568,G2,"0,688469601677149",EPEULE NORD,1934,"0,777388747262976"
595120303,7078,G2,"0,741928721174004",CUL DE FOUR,3189,"1,28184731903911"
595120201,7222,G2,"0,757023060796646",FOSSE AUX CHENES,2832,"1,13834794842231"
595121001,7277,G2,"0,762788259958071",PILE EST,2207,"0,887123560087585"
595120502,7338,G2,"0,769182389937107",EPEULE CENTRE,2695,"1,08327956249934"
595121003,7885,G2,"0,826519916142558",PILE NORD,2142,"0,860996223700773"
595120901,7920,G3,"0,830188679245283",SAINTE-ELISABETH CENTRE,2477,"0,995652495848186"
595120902,7941,G3,"0,832389937106918",SAINTE-ELISABETH SUD,1903,"0,764928017601574"
595120402,8003,G3,"0,838888888888889",HOMMELET CENTRE,2944,"1,18336735881189"
595120801,8381,G3,"0,878511530398323",MOULIN NORD,2549,"1,02459354538435"
595120101,8472,G3,"0,888050314465409",MACKELLERIE,2267,"0,911241101367719"
595120903,8677,G3,"0,909538784067086",SAINTE-ELISABETH NORD,2818,"1,13272052212361"
595120403,8859,G3,"0,928616352201258",HOMMELET SUD,2208,"0,88752551910892"
595120504,9041,G4,"0,94769392033543",TRICHON,2684,"1,07885801326465"
595120301,9073,G4,"0,95104821802935",ENTREPONT-CARTIGNY,2782,"1,11824999735553"
595121302,9127,G4,"0,956708595387841",HAUTS CHAMPS,2464,"0,990427028570824"
595120802,9423,G4,"0,987735849056604",MOULIN SUD,2385,"0,958672265885315"
595120602,9469,G4,"0,992557651991614",NATIONS UNIES,2645,"1,06318161143256"
595120603,9584,G4,"1,00461215932914",ANSEELE,3324,"1,33611178691941"
595121301,9747,G4,"1,02169811320755",NOUVEAU ROUBAIX,2302,"0,925309667114463"
595121103,9988,G5,"1,04696016771488",SARTEL,1796,"0,721918402318669"
595120302,10237,G5,"1,0730607966457",HUTIN-ORAN,2528,"1,0161524059363"
595120601,10640,G5,"1,11530398322851",ESPERANCE CENTRE,2028,"0,815172895268519"
595120102,10913,G5,"1,14392033542977",FRESNOY,3656,"1,46956218200281"
595120503,11818,G5,"1,23878406708595",EPEULE SUD,2011,"0,808339591905815"
595121203,12881,G5,"1,35020964360587",FRATERNITE,2679,"1,07684821815797"
595120803,14598,G6,"1,53018867924528",POTENNERIE,2957,"1,18859282608926"
595121201,15408,G6,"1,61509433962264",LINNE CHEMIN NEUF,3041,"1,22235738388144"
595121202,15934,G6,"1,67023060796646",JUSTICE,2109,"0,8477315759967"
595120703,16318,G6,"1,7104821802935",EDOUART VAILLANT,2979,"1,19743592455864"
595120701,24340,G6,"2,55136268343815",BARBIEUX-VAUBAN,3722,"1,49609147741096"
595120702,27475,G6,"2,87997903563941",BARBIEUX SUD,2088,"0,839290436548653"
