Code IRIS de Roubaix,Nom de l’IRIS à Roubaix
595120101,MACKELLERIE
595120102,FRESNOY
595120201,FOSSE AUX CHENES
595120202,ALMA SUD
595120203,ALMA NORD
595120301,ENTREPONT-CARTIGNY
595120302,HUTIN-ORAN
595120303,CUL DE FOUR
595120401,HOMMELET NORD
595120402,HOMMELET CENTRE
595120403,HOMMELET SUD
595120501,EPEULE NORD
595120502,EPEULE CENTRE
595120503,EPEULE SUD
595120504,TRICHON
595120601,ESPERANCE CENTRE
595120602,NATIONS UNIES
595120603,ANSEELE
595120701,BARBIEUX-VAUBAN
595120702,BARBIEUX SUD
595120703,EDOUART VAILLANT
595120801,MOULIN NORD
595120802,MOULIN SUD
595120803,POTENNERIE
595120901,SAINTE-ELISABETH CENTRE
595120902,SAINTE-ELISABETH SUD
595120903,SAINTE-ELISABETH NORD
595121001,PILE EST
595121002,PILE CENTRE
595121003,PILE NORD
595121101,TROIS PONTS NORD
595121102,TROIS PONTS SUD
595121103,SARTEL
595121201,LINNE CHEMIN NEUF
595121202,JUSTICE
595121203,FRATERNITE
595121301,NOUVEAU ROUBAIX
595121302,HAUTS CHAMPS
